Number of Breast Cancer Patients with HCPCS in NCH and Outpatient by claim year																							
In order to ensure confidentiality cell sizes less than 11 are masked (#).																							
HCPCS	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018			
00400	6210	14684	16305	16892	16366	16524	16828	16413	16369	16190	15778	15096	15390	15176	16150	14487	14068	14067	13547	6871			
00402	332	821	1119	1299	1481	1615	1662	1786	2123	2347	2776	3034	3282	3738	3972	4259	4347	4437	4320	3554			
00404	3357	9091	9673	9588	8596	8157	8066	7967	7203	6681	6372	5937	5379	5297	3117	2550	2355	2056	1709	652			
00406	84	294	226	223	239	285	221	168	124	132	97	136	121	94	72	64	59	60	46	16			
00407	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00410	243	264	309	332	308	287	324	353	386	375	426	516	536	513	554	564	600	665	630	653			
00420	48	14	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00445	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00450	18	21	23	24	26	23	24	22	15	20	17	28	33	22	30	27	39	37	36	40			
00452	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00454	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	19	#			
00460	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00470	25	28	34	42	49	44	55	57	39	53	46	50	47	41	31	48	41	40	35	35			
00471	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00472	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00474	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00479	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00500	15	16	11	15	16	20	22	15	23	26	19	19	23	20	18	25	30	26	20	19			
00508	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00511	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00520	174	222	252	243	301	262	342	399	428	460	460	512	654	758	866	958	1096	1184	1263	1174			
00522	#	#	#	#	#	#	#	#	#	#	#	13	13	16	24	39	41	30	36	27			
00524	#	#	#	#	13	#	#	24	19	#	15	15	17	19	16	14	21	25	37	28			
00528	32	46	63	130	117	135	166	144	188	174	151	178	153	164	134	144	138	107	121	94			
00529	#	#	#	#	#	29	32	43	55	58	52	58	59	67	76	68	67	73	87	74			
00530	259	385	408	495	523	587	648	646	671	692	595	602	557	509	580	549	559	600	590	620			
00532	531	1485	2072	2450	2806	3018	3241	3325	3466	3312	3445	3330	3382	3399	3306	3390	3428	3222	3148	1710			
00534	38	46	52	71	82	102	160	161	155	195	152	120	104	101	97	100	266	257	267	245			
00535	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00537	#	#	33	61	55	88	123	128	157	206	277	399	420	511	575	639	555	669	697	735			
00539	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00540	153	236	275	319	288	275	228	239	189	174	168	168	177	162	152	166	154	169	166	145			
00541	#	#	#	#	109	213	319	370	394	465	546	598	581	558	611	568	558	550	611	546			
00542	#	18	28	58	57	63	87	81	60	75	79	45	47	38	47	42	53	47	38	50			
