Number of Breast Cancer Patients with HCPCS in NCH and Outpatient by claim year																							
In order to ensure confidentiality cell sizes less than 11 are masked (#).																							
HCPCS	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018			
96942	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
96943	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
96984	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
96999	#	#	19	#	23	13	#	#	#	#	#	#	#	#	#	#	13	#	11	14			
97000	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97001	15632	19579	24649	30639	34892	39540	44456	46719	48645	51476	54495	57632	60606	64792	67561	69777	73412	76925	#	#			
97002	2684	3541	3452	4704	4966	5667	6813	6934	7363	7164	7314	7393	7909	7991	8626	8844	8821	9128	#	#			
97003	1849	2620	3297	4424	5262	6264	7111	7820	8195	9047	10214	11061	11778	13163	13781	14796	15813	16796	#	#			
97004	332	415	389	560	596	687	726	736	713	742	745	757	758	829	797	844	841	845	#	#			
97005	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97006	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97010	2212	2286	2421	4314	4353	4555	4898	4849	4540	4607	4767	4920	5005	5199	5367	5610	5811	5972	5893	5704			
97011	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97012	1701	1837	2102	2532	2625	3028	3402	3596	3429	3386	3317	3430	3413	3603	3384	3288	3454	3281	3126	2652			
97013	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97014	7007	8240	10383	12543	5165	1906	1637	1511	1263	1489	1374	1027	1169	1373	1267	1181	1149	1015	966	1022			
97015	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97016	170	210	272	309	400	511	652	697	800	810	888	1019	1184	1285	1350	1425	1556	1662	1721	1802			
97017	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97018	573	602	684	816	901	974	1061	1124	1152	1068	1042	1035	1061	1059	939	1006	1052	1034	1070	1114			
97020	14	13	#	#	#	11	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97021	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97022	1243	1193	1282	1406	1347	1408	1476	1399	1331	1247	1270	1221	1285	1121	1086	1044	1036	981	896	882			
97023	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97024	407	392	436	403	378	359	400	354	370	398	479	508	589	656	649	663	641	696	603	535			
97025	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97026	93	114	160	187	253	643	1111	1245	1060	968	906	889	843	841	757	694	691	581	476	410			
97028	#	20	#	20	19	13	20	21	18	16	11	15	#	16	16	19	15	20	19	19			
97030	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97032	2209	2487	2881	3317	4511	5169	6187	5965	5866	5542	5541	5316	5054	4933	4272	3860	3567	3339	2981	2580			
97033	796	882	1065	1310	1437	1595	1802	1727	1569	1613	1300	1119	1026	1036	934	805	731	580	495	397			
97034	75	84	96	103	95	110	122	125	124	114	87	97	84	112	73	67	73	57	55	49			
97035	10234	11277	13018	14723	15549	16696	18210	17702	17158	16486	16233	15960	15537	15134	14233	12990	12032	11188	10160	9056			
97036	51	45	43	76	82	78	53	46	44	40	43	39	33	30	25	25	24	24	19	13			
97038	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97039	357	326	282	325	325	353	329	188	149	129	105	108	89	96	95	114	95	83	78	85			
97040	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97041	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97042	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97043	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97044	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97045	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97046	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97052	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97053	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97061	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97065	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97070	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97071	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97080	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97082	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97084	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97091	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97100	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97101	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97102	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97103	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97104	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97110	17807	21497	27057	33239	37730	42542	48203	50855	52703	55115	57978	61455	64041	68286	69765	72414	75368	78669	80313	80350			
97111	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97112	3319	4337	5901	7495	8996	10723	13112	13906	15202	16782	18533	20558	22297	24532	26177	28442	30235	32718	34489	37629			
97113	958	1067	1380	1670	1819	2027	2378	2233	2176	2139	2284	2201	2215	2295	2261	2178	2270	2189	2145	2072			
97114	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97116	2848	3706	4272	5267	5955	6836	7650	8132	8716	9709	10612	11320	12424	13855	14326	14702	15046	15884	16180	17209			
97118	14	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97120	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97122	219	43	24	16	11	11	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97124	4645	4780	4983	5206	5227	5392	5665	4870	4143	3676	3512	3431	3267	3053	2785	2535	2264	2133	1974	2455			
97127	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	13			
97128	31	31	14	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97130	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97135	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97139	456	353	360	338	277	274	261	150	92	83	75	76	54	55	46	48	42	54	53	39			
97140	8210	11464	15122	19370	22592	26196	30565	32582	34054	36224	38803	41919	44328	47749	49490	52097	54700	57737	59212	59513			
97141	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97142	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97145	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97149	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97150	514	633	776	1553	2548	3056	3513	3594	3486	3660	3928	4350	4622	4060	4018	4077	4281	4760	5048	5381			
97161	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	36976	38929			
97162	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	40178	40256			
97163	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	9783	8889			
97164	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	8844	8835			
97165	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	8928	9237			
97166	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	8023	8426			
97167	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	1944	1782			
97168	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	806	789			
97170	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97172	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97180	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97181	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97200	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97205	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97210	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97211	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97213	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97214	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97220	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97235	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97240	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97241	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97250	915	93	39	43	31	21	31	11	#	#	#	#	#	#	#	#	#	#	#	#			
97260	93	22	12	11	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97261	14	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97262	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97265	357	13	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97280	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97305	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97310	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97332	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97340	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97350	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97353	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97370	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97400	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97405	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97410	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97411	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97430	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97500	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97501	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97503	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97504	596	799	906	1110	1287	1474	1571	11	#	#	#	#	#	#	#	#	#	#	#	#			
97505	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97520	43	37	51	49	62	56	50	#	#	#	#	#	#	#	#	#	#	#	#	#			
97530	7280	8686	9275	11774	12756	14293	16311	16815	17927	19265	20851	22415	24413	26447	27750	30023	32034	34134	35932	40870			
97531	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97532	#	#	126	209	261	266	294	389	443	499	596	765	833	989	915	1051	1046	1009	1004	#			
97533	#	#	31	51	75	81	69	65	74	60	53	65	41	66	43	49	48	61	67	69			
97535	2053	2636	3175	4021	4688	5428	6344	6983	7527	8385	9195	10078	10713	11966	13078	14198	15456	16699	17584	19017			
97536	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97537	74	78	80	111	90	92	84	86	91	76	91	109	108	122	130	158	126	108	102	121			
97540	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97542	113	173	205	290	427	489	530	627	790	901	1098	1253	1508	1587	1699	1917	2023	2155	2197	2216			
97545	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97546	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97550	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97570	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97597	#	#	#	#	#	#	398	429	542	773	873	1021	4659	4721	4674	4700	4548	4182	4056	4005			
97598	#	#	#	#	#	#	69	67	97	103	131	150	368	295	294	312	302	288	270	299			
97601	#	#	171	326	377	454	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97602	#	#	43	87	110	162	203	256	257	297	289	270	333	314	354	350	349	312	314	352			
97605	#	#	#	#	#	#	27	116	165	209	268	256	313	371	374	443	438	410	443	429			
97606	#	#	#	#	#	#	11	41	56	71	83	91	96	106	115	127	124	118	122	129			
97607	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	47	70	127	100			
97608	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	19	#			
97610	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	21	28	29	48	35			
97611	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97612	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97614	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97616	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97618	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97620	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97630	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97640	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97660	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97700	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97701	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97703	215	202	180	234	245	301	303	#	#	#	#	#	#	#	#	#	#	#	#	#			
97710	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97712	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97713	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97716	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97720	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97730	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97750	1219	954	864	884	1012	1019	1080	1166	1141	1193	1200	1229	1400	1519	1822	1870	1832	1931	2010	2078			
97751	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97755	#	#	#	#	#	14	27	17	34	21	17	18	17	21	26	13	#	12	#	12			
97760	#	#	#	#	#	#	#	1569	1614	1694	1731	1711	1746	1913	1887	2035	2094	2117	2103	1817			
97761	#	#	#	#	#	#	#	52	78	76	47	37	43	39	70	42	37	30	33	47			
97762	#	#	#	#	#	#	#	279	309	342	324	331	325	350	349	402	373	392	374	#			
97763	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	824			
97770	136	138	25	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97780	165	215	209	274	252	299	51	#	#	#	#	#	#	#	#	#	#	#	#	#			
97781	87	101	100	121	116	146	16	#	#	#	#	#	#	#	#	#	#	#	#	#			
97785	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97791	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97799	123	84	109	93	73	31	29	30	27	32	25	22	30	28	29	19	15	22	25	44			
97800	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97801	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97802	#	#	22	419	882	1188	1531	1573	1648	1549	1741	1890	1929	1991	2110	2075	2188	2186	2231	2225			
97803	#	#	12	195	418	618	803	826	873	923	977	1083	1126	1237	1333	1277	1306	1404	1422	1453			
97804	#	#	#	20	44	92	90	85	98	83	73	78	87	85	96	76	88	69	84	92			
97807	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97810	#	#	#	#	#	#	319	302	328	318	334	327	327	338	339	402	385	355	397	398			
97811	#	#	#	#	#	#	100	111	114	107	108	104	133	155	146	179	162	171	173	162			
97812	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97813	#	#	#	#	#	#	151	143	168	164	166	189	195	195	187	189	176	163	155	139			
97814	#	#	#	#	#	#	71	79	85	93	89	98	137	139	123	122	122	123	117	107			
97818	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97819	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97830	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97831	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97840	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97844	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97880	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97901	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97910	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97911	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97913	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97940	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97941	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97970	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
97999	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98001	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98006	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98012	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98015	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98032	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98034	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98040	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98041	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98042	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98053	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98057	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98062	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98081	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98099	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98110	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98117	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98124	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98140	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98141	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98201	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98202	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98204	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98212	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98213	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98245	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98250	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98284	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98295	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98341	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98360	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98378	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98400	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98401	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98409	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98422	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98441	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98472	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98490	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98491	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98494	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98510	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98530	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98539	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98540	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98541	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98562	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98568	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98640	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98641	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98710	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98711	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98713	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98730	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98740	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98741	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98771	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98773	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98778	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98806	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98814	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98840	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98841	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98842	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98862	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98894	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98900	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98901	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98904	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98910	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98911	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98912	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98913	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98914	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98916	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98920	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98921	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98925	355	347	346	423	378	401	377	459	443	403	434	404	423	418	463	449	451	479	523	474			
98926	293	304	348	398	405	458	420	513	502	481	484	504	494	539	591	548	567	540	554	549			
98927	223	210	229	265	303	342	343	384	407	402	398	445	500	474	495	443	471	486	492	469			
98928	101	118	137	157	181	197	238	261	306	294	309	317	347	333	389	362	414	395	442	436			
98929	71	82	94	97	99	106	114	126	156	161	167	211	235	234	268	253	267	280	314	305			
98930	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98931	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98932	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98939	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98940	8836	9900	10466	10774	10782	11251	11558	11986	11500	11111	11285	12072	12750	13535	13234	12726	12572	12370	11867	11090			
98941	7692	9081	10425	12284	13702	15160	16480	17709	17746	18179	18434	18682	18058	17505	16941	16868	17151	17000	16589	16521			
98942	1436	1791	2248	2739	3374	3644	3852	3757	3654	3584	3020	2933	2717	2516	2468	2308	2290	1971	1634	1573			
98943	103	163	198	277	346	447	632	676	661	757	882	1041	1086	1121	1220	1374	1431	1417	1411	1407			
98944	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98945	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98946	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98947	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98948	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98949	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98950	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98954	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
98957	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
